Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed
1,Kentucky,SEC,32-4,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,1
2,Kansas,B12,30-8,28.62,115.0,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.7,2,96.8,9,6.08,35,2
3,Pittsburgh,BE,28-5,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.07,56,105.5,66,98.4,49,-8.24,310,2
4,Arizona,P10,28-4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,53,8.19,26,1
5,Illinois,B10,25-7,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,59,98.5,54,-4.18,257,4
6,Duke,ACC,26-7,23.75,115.0,13,91.3,15,70.7,40,-0.03,246,8.85,27,107.1,17,98.3,43,0.64,138,3
7,Texas,B12,26-7,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.8,7,2.16,104,1
8,Syracuse,BE,30-5,23.28,114.4,17,91.1,14,71.0,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,3
9,Oklahoma,B12,27-7,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,31,97.7,26,-2.32,214,1
10,Louisville,CUSA,25-7,22.75,115.8,9,93.0,25,72.5,12,-0.029,241,6.82,61,105.3,69,98.4,50,5.99,39,4
11,Florida,SEC,25-8,22.14,116.5,6,94.4,36,65.0,256,0.008,140,8.3,36,106.0,55,97.7,24,-0.89,174,2
12,Wisconsin,B10,24-8,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,51,99.6,79,-1.01,179,5
13,Maryland,ACC,21-10,22.0,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,35,98.4,47,-5.28,282,6
14,Mississippi St.,SEC,21-10,21.53,107.4,79,85.8,1,64.8,263,-0.06,290,8.85,28,106.9,24,98.0,36,-2.62,218,5
15,Marquette,CUSA,27-6,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.94,42,106.0,54,98.0,35,-1.46,188,3
17,Saint Joseph's,A10,23-7,20.75,109.0,58,88.3,6,64.1,281,-0.049,279,4.61,88,105.0,74,100.4,94,5.8,43,7
18,Notre Dame,BE,24-10,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.0,6,107.3,11,96.3,5,3.78,65,5
19,Michigan St.,B10,22-13,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,14,3.19,83,7
20,Xavier,A10,26-6,19.88,113.8,19,94.0,29,67.7,131,0.018,120,4.8,86,105.0,76,100.2,89,4.84,56,3
21,Wake Forest,ACC,25-6,19.87,114.5,15,94.6,37,67.7,130,0.073,25,7.83,44,105.9,58,98.0,37,-3.8,249,2
22,Connecticut,BE,23-10,19.54,111.6,26,92.0,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.47,236,5
23,LSU,SEC,21-11,18.15,111.0,33,92.8,24,67.5,140,-0.035,262,6.27,67,104.8,80,98.6,56,-8.36,311,8
24,BYU,MWC,23-9,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.4,9,101.9,130,5.2,52,12
25,Oklahoma St.,B12,22-10,17.67,105.9,100,88.2,5,66.7,177,0.003,157,9.08,22,106.3,44,97.2,13,-1.14,183,6
26,Creighton,MVC,29-5,17.54,112.4,24,94.9,40,68.4,103,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,6
27,Purdue,B10,19-11,17.42,107.0,87,89.6,11,69.3,71,-0.012,194,9.53,17,107.6,6,98.0,38,4.87,55,9
28,Missouri,B12,22-11,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,96.0,1,2.97,87,6
29,Memphis,CUSA,23-7,16.72,110.9,35,94.1,33,68.3,109,0.005,151,4.84,84,103.4,134,98.5,55,3.33,81,7
30,Arizona St.,P10,20-12,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,25,5.44,50,10
