Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,BPI_Off1,BPI_Off2,BPI_Def1,BPI_Def2,BPI1,BPI2,Elo1,Elo2,Score1,Score2,Eff_Diff,Score_Diff,Winner
North Carolina,Mount St. Mary's,30.22,-1.32,122.1,99.3,91.9,100.6,10.18,-5.35,108,101.6,97.8,106.9,19.2,-2.2,1,1.7,20.2,-0.5,1796.741856,1497.92861,113,74,31.54,39,0
American,Tennessee,1.67,22.17,107.9,116.2,106.3,94,-4.23,9.58,99.9,109.4,104.1,99.8,-3,13.3,3.8,2.8,0.8,16.1,1549.611247,1766.51082,57,72,-20.5,-15,1
Boise St.,Louisville,3.89,25.41,108.7,113.1,104.8,87.7,-2.64,9.34,103.3,108.4,105.9,99,8.3,7.1,-6.1,9.1,2.2,16.1,1625.870205,1671.16302,61,79,-21.52,-18,1
Washington St.,Winthrop,24.32,6.38,115.1,99.5,90.8,93.1,8.99,-1.01,109,105.1,100,106.1,1.1,-4.7,13.2,10.5,14.3,5.9,1691.260923,1585.390239,71,40,17.94,31,0
Notre Dame,George Mason,19.07,9.68,114.6,110.7,95.6,101,6.88,-0.57,107.5,102.6,100.6,103.2,10.6,2,1.6,4.8,12.2,6.7,1656.922162,1631.321909,68,50,9.39,18,0
Saint Joseph's,Oklahoma,14.32,14.47,115.1,109.5,100.8,95.1,5.81,9.45,106.9,108.3,101.1,98.9,6.1,2.6,3.2,6.9,9.3,9.5,1585.344602,1630.031064,64,72,-0.15,-8,1
Butler,South Alabama,19.97,11.8,116.2,112.6,96.2,100.8,2.79,-2.07,104.3,103.1,101.5,105.2,3.3,4,9.2,2.1,12.5,6.1,1724.854727,1685.407199,81,61,8.17,20,0
Arkansas,Indiana,15.19,18.43,111.4,114.6,96.2,96.1,7.19,6.28,108.4,106.6,101.2,100.3,5.5,8.5,4.1,4.1,9.7,12.6,1631.563166,1696.048872,86,72,-3.24,14,0
Portland St.,Kansas,5.4,35.21,108.6,120.9,103.2,85.7,-3.5,9.57,102.7,109.2,106.2,99.6,3.8,12.4,-0.9,9.6,2.9,21.9,1592.575569,1781.033225,61,85,-29.81,-24,1
UMBC,Georgetown,3.86,25.56,113.2,115.2,109.3,89.7,-4.31,8.48,100.7,108.2,105,99.8,4.5,4.3,-2.2,12.9,2.3,17.2,1622.303481,1714.822816,47,66,-21.7,-19,1
Cal St. Fullerton,Wisconsin,8.47,26.68,112.3,113.5,103.9,86.8,-3.95,7.35,101.5,107.1,105.5,99.8,9.6,2.1,-4.9,14.4,4.7,16.5,1612.238822,1723.259336,56,71,-18.21,-15,1
Vanderbilt,Siena,12.65,7.99,112.3,108.6,99.6,100.7,5.2,-1.41,107.4,104.1,102.2,105.5,10,6.1,-1.6,-1,8.4,5.1,1713.872468,1589.985476,62,83,4.66,-21,1
Clemson,Villanova,22.03,14.21,114,109.2,91.9,95,9.53,9.14,109.3,108.9,99.8,99.8,10.2,5.6,4.5,3.4,14.7,9,1656.611712,1601.840033,69,75,7.82,-6,1
Kansas St.,USC,18.9,18.67,114.2,110.5,95.3,91.9,9.09,11.18,108,109.7,98.9,98.5,8.6,4.9,1.1,7.1,9.6,12,1616.504765,1603.041875,80,67,0.23,13,0
Davidson,Gonzaga,23.61,19.05,117,114.5,93.4,95.5,3.36,2.57,105.2,104,101.8,101.5,9.5,8.1,5.3,2.9,14.8,11,1656.209335,1672.41826,82,76,4.56,6,0
Kent St.,UNLV,13.04,13.71,107.8,110.2,94.8,96.5,1.03,3.1,103.5,104.3,102.5,101.2,1.8,2.6,5.8,6,7.6,8.6,1681.896821,1669.553283,58,71,-0.67,-13,1
Memphis,UT Arlington,31.51,-2.31,118,101.3,86.5,103.6,5.83,-4.81,107,99.5,101.1,104.3,11.3,0.8,8,-2.4,19.3,-1.5,1829.20976,1614.996539,87,63,33.82,24,0
Austin Peay,Texas,-0.3,25.09,104.6,120.6,104.9,95.5,-6.35,10.37,102.5,108.4,108.8,98,2.9,9.4,-1.8,4.3,1.1,13.7,1601.167784,1731.624558,54,74,-25.39,-20,1
Cornell,Stanford,4.41,22.75,110.1,113.6,105.7,90.9,-6.93,9.32,99.1,109.1,106,99.7,6.2,5.5,-2.5,8.6,3.6,14.1,1634.336048,1676.596709,53,77,-18.34,-24,1
Pittsburgh,Oral Roberts,19.91,10.27,116.5,104.7,96.6,94.5,9.52,-0.01,107.8,105.4,98.3,105.4,7.2,-0.9,6,6.5,13.3,5.6,1669.678367,1634.14884,82,63,9.64,19,0
Temple,Michigan St.,12.37,21.15,112.8,115.8,100.4,94.7,6.08,8.71,107.4,108.2,101.3,99.5,4.7,5.8,2.3,7.8,7,13.6,1556.398692,1698.455037,61,72,-8.78,-11,1
Marquette,Kentucky,22.16,10.01,115.3,107.8,93.1,97.8,8.62,6.74,107.9,107.4,99.3,100.7,8.3,1,5.9,6.4,14.2,7.4,1672.7637,1547.131133,74,66,12.15,8,0
Miami FL,Saint Mary's,15.38,14.66,112.5,109.2,97.1,94.6,7.78,0.11,106.7,103.4,98.9,103.3,8.1,5.1,2.2,3.9,10.4,9,1659.012484,1697.672001,78,64,0.72,14,0
