Team1,Team2,Eff1,Eff2,Off1,Off2,Def1,Def2,SOS_Eff1,SOS_Eff2,SOS_Off1,SOS_Off2,SOS_Def1,SOS_Def2,Score1,Score2,Eff_Diff,Score_Diff,Winner
Duke,Winthrop,34.19,-5.31,121.0,97.3,86.8,102.6,9.87,-10.73,109.3,97.2,99.5,107.9,84,37,39.5,47,0
Florida Atlantic,Alabama,-2.5,18.73,99.6,114.0,102.1,95.3,-4.94,8.59,102.2,107.4,107.1,98.8,78,86,-21.23,-8,1
Pittsburgh,Central Connecticut,19.94,0.93,112.1,100.6,92.2,99.7,3.12,-11.95,103.9,97.6,100.8,109.5,71,54,19.01,17,0
USC,UNC Wilmington,20.67,11.32,112.8,107.4,92.1,96.1,9.31,0.83,109.4,103.4,100.1,102.6,89,93,9.350000000000001,-4,1
Utah,Indiana,14.08,24.8,111.4,114.0,97.3,89.2,5.38,14.12,106.4,111.1,101.0,96.9,56,75,-10.72,-19,1
California,Penn,16.03,12.23,109.8,110.2,93.7,98.0,7.89,-2.38,108.1,102.2,100.2,104.5,82,75,3.8000000000000007,7,0
Oklahoma St.,Kent St.,15.8,20.39,107.9,116.7,92.1,96.4,7.11,3.11,108.1,106.3,101.0,103.2,61,69,-4.59,-8,1
Notre Dame,Charlotte,19.27,15.73,116.1,114.2,96.8,98.5,7.34,9.24,105.6,107.5,98.3,98.3,82,63,3.539999999999999,19,0
Cincinnati,Boston University,30.19,-2.74,118.1,101.3,87.9,104.0,6.58,-9.18,106.5,97.7,100.0,106.9,90,52,32.93,38,0
Illinois Chicago,Oklahoma,3.85,26.04,108.9,114.9,105.0,88.9,1.84,8.77,104.3,109.2,102.4,100.4,63,71,-22.189999999999998,-8,1
Arizona,UC Santa Barbara,20.54,8.87,119.3,108.2,98.8,99.3,14.22,0.45,111.5,103.3,97.3,102.9,86,81,11.67,5,0
Ohio St.,Davidson,19.76,3.7,116.4,101.5,96.6,97.8,7.51,1.79,106.8,104.5,99.3,102.7,69,64,16.060000000000002,5,0
Miami FL,Missouri,15.77,17.49,110.5,116.2,94.7,98.7,5.75,7.92,105.2,108.2,99.5,100.3,80,93,-1.7199999999999989,-13,1
Wyoming,Gonzaga,11.01,18.51,107.8,115.6,96.7,97.1,3.51,1.13,105.8,104.0,102.3,102.8,73,66,-7.500000000000002,7,0
Xavier,Hawaii,18.6,13.15,111.2,110.3,92.6,97.2,5.1,-0.72,106.9,103.1,101.8,103.8,70,58,5.450000000000001,12,0
Mississippi,UCLA,16.68,16.34,113.3,113.7,96.7,97.3,7.32,12.0,106.1,110.3,98.8,98.3,58,80,0.33999999999999986,-22,1
Siena,Maryland,-1.21,29.25,100.8,119.2,102.0,89.9,-4.14,9.88,100.3,109.4,104.4,99.5,70,85,-30.46,-15,1
Connecticut,Hampton,19.36,3.99,112.2,109.9,92.8,105.9,8.19,-8.67,107.5,98.5,99.3,107.2,78,67,15.37,11,0
