Year,Team,Elo
2003,Dominican (CA),1481.506536
2003,Siena,1564.680532
2003,Stephen F. Austin,1626.485337
2003,Grambling,1439.461653
2003,Asbury,1487.315444
2003,Texas A&M-Corpus Christi,1480.109291
2003,Louisiana-Monroe,1446.661993
2003,Florida,1666.823297
2003,Adrian,1485.558277
2003,Louisiana State,1615.273699
2003,Centenary (LA),1497.328987
2003,Vermont,1565.073355
2003,Georgia Southern,1534.873621
2003,Concordia (MI),1445.634282
2003,Voorhees,1483.936684
2003,Slippery Rock,1479.815294
2003,Louisiana College,1475.482904
2003,Birmingham-Southern,1384.704738
2003,Saint Joseph's (IN),1484.400648
2003,Saint Louis,1541.467459
2003,Long Beach State,1325.310132
2003,Clark Atlanta,1465.812376
2003,Seattle,1484.647117
2003,Morris Brown,1340.874539
2003,Ripon,1488.25732
2003,Butler,1700.816134
2003,Indiana,1625.109751
2003,Winthrop,1591.147211
2003,Grinnell,1479.465503
2003,Northern Michigan,1481.899733
2003,LeTourneau,1489.757829
2003,Ball State,1498.377779
2003,Christian Brothers,1486.530098
2003,Navy,1386.703382
2003,Columbia,1278.546777
2003,Emporia State,1492.151382
2003,Auburn,1626.353345
2003,Lipscomb,1275.363722
2003,Manhattanville,1484.890804
2003,Temple,1465.223961
2003,Georgia State,1486.494229
2003,Marshall,1488.862921
2003,Southern Mississippi,1497.822308
2003,Alabama,1593.335624
2003,Tougaloo,1481.318731
2003,Newberry,1483.06875
2003,Duquesne,1410.100435
2003,St. John's (NY),1569.399066
2003,Missouri-Kansas City,1354.584593
2003,Monmouth,1492.654672
2003,UC-San Diego,1471.561812
2003,Wagner,1598.309148
2003,Duke,1700.176899
2003,Austin College,1489.715235
2003,Towson,1314.544598
2003,Texas Wesleyan,1470.607186
2003,Pomona-Pitzer,1488.246694
2003,Montana State-Northern,1481.24068
2003,Stony Brook,1479.905535
2003,William & Mary,1456.577131
2003,St. Edward's,1465.997693
2003,St. Mary's (TX),1481.231033
2003,Syracuse,1735.544362
2003,Clemson,1568.279171
2003,Colgate,1470.158079
2003,Bethel (TN),1482.924294
2003,Northern Illinois,1510.17258
2003,Jarvis Christian,1482.447603
2003,Air Force,1491.309109
2003,Albany (NY),1382.104695
2003,Hawaii-Hilo,1469.194024
2003,Maryland-Eastern Shore,1304.225103
2003,Virginia Tech,1470.753821
2003,Curry,1484.934884
2003,UC-Santa Barbara,1524.095931
2003,Whitman,1489.832463
2003,James Madison,1455.326643
2003,Schreiner,1480.281328
2003,Santa Clara,1491.199154
2003,Wayne State (NE),1479.392353
2003,Saint Peter's,1429.009776
2003,Kentucky Christian,1468.377667
2003,Miami (OH),1508.449382
2003,Southern California,1461.983805
2003,Savannah State,1292.909422
2003,Bucknell,1489.96003
2003,Cal State Northridge,1509.425066
2003,Delaware,1519.24979
2003,Jacksonville,1472.441956
2003,Arkansas,1444.83814
2003,Fort Wayne,1406.030784
2003,Montana,1481.203092
2003,Oregon,1648.954123
2003,Harding,1469.410867
2003,North Carolina-Greensboro,1370.911028
2003,Coe,1486.454874
2003,Iowa,1543.82444
2003,Aurora,1485.796686
2003,Murray State,1560.282017
2003,Nova Southeastern,1478.057256
2003,Radford,1397.815832
2003,Ohio Wesleyan,1479.383465
2003,Idaho,1475.155189
2003,Stetson,1364.878056
2003,Trinity (TX),1482.196843
2003,Ohio,1469.503675
2003,Colorado Springs,1484.448736
2003,North Carolina A&T,1258.129556
2003,Spring Hill,1484.703857
2003,Dayton,1679.440534
2003,Little Rock,1554.12297
2003,Miami (FL),1465.243965
2003,Methodist,1482.264939
2003,Tuskegee,1458.806188
2003,Middle Tennessee,1497.76049
2003,Seattle Pacific,1487.019746
2003,East Mennonite,1478.621498
2003,Central Arkansas,1486.090787
2003,Old Dominion,1470.642881
2003,McNeese State,1536.246482
2003,Northern Iowa,1417.641651
2003,Campbell,1360.511968
2003,Southern Illinois-Edwardsville,1486.124479
2003,Southwest Assemblies of God,1484.234211
2003,Maine,1476.191034
2003,Penn State,1398.444577
2003,Canisius,1445.493516
