Rk,Team,Conf,W-L,AdjEM,AdjO,AdjO2,AdjD,AdjD2,AdjT,AdjT2,Luck,Luck2,Strength of Schedule AdjEM,Strength of Schedule AdjEM2,Strength of Schedule OppO,Strength of Schedule OppO2,Strength of Schedule OppD,Strength of Schedule OppD2,NCSOS AdjEM,NCSOS AdjEM2,Seed,Year,BPI Off,BPI Def,BPI,Elo
1,Kansas,B12,37-3,35.21,120.9,2,85.7,1,66.8,109,0.012,138,9.57,14,109.2,8,99.6,35,-1.41,184,1,2008,12.4,9.6,21.9,1781.033225
2,Memphis,CUSA,38-2,31.51,118.0,6,86.5,2,68.1,76,0.012,141,5.83,72,107.0,62,101.1,79,5.45,39,1,2008,11.3,8.0,19.3,1829.20976
3,North Carolina,ACC,36-3,30.22,122.1,1,91.9,14,72.5,9,0.05,55,10.18,7,108.0,36,97.8,2,1.5,107,1,2008,19.2,1.0,20.2,1796.741856
4,UCLA,P10,35-4,29.94,118.0,7,88.1,5,64.1,209,0.047,62,10.03,9,109.3,6,99.3,24,-1.63,196,1,2008,7.9,10.9,18.9,1769.606214
5,Wisconsin,B10,31-5,26.68,113.5,37,86.8,3,61.1,306,0.043,69,7.35,51,107.1,61,99.8,40,-0.19,154,3,2008,2.1,14.4,16.5,1723.2593359999996
6,Duke,ACC,28-6,26.4,116.3,13,89.9,7,71.5,13,-0.006,189,10.06,8,109.1,9,99.0,18,3.36,73,2,2008,13.8,4.3,18.2,1739.6847239999993
7,Georgetown,BE,28-6,25.56,115.2,21,89.7,6,60.5,316,0.028999999999999998,99,8.48,35,108.2,31,99.8,39,-2.72,235,2,2008,4.3,12.9,17.2,1714.822816
8,Louisville,BE,27-9,25.41,113.1,40,87.7,4,65.3,160,-0.057,300,9.34,21,108.4,28,99.0,17,0.79,126,3,2008,7.1,9.1,16.1,1671.16302
9,Texas,B12,31-7,25.09,120.6,3,95.5,42,63.9,222,0.044000000000000004,67,10.37,6,108.4,29,98.0,3,0.04,146,2,2008,9.4,4.3,13.7,1731.6245579999998
10,Washington St.,P10,26-9,24.32,115.1,23,90.8,9,58.3,334,-0.004,179,8.99,29,109.0,12,100.0,52,-6.51,309,4,2008,1.1,13.2,14.3,1691.260923
11,Davidson,SC,29-7,23.61,117.0,9,93.4,24,66.2,133,-0.036000000000000004,260,3.36,102,105.2,105,101.8,97,14.93,1,10,2008,9.5,5.3,14.8,1656.209335
12,Stanford,P10,28-8,22.75,113.6,36,90.9,10,63.4,248,0.04,78,9.32,22,109.1,11,99.7,37,-6.32,306,3,2008,5.5,8.6,14.1,1676.596709
13,Tennessee,SEC,31-5,22.17,116.2,15,94.0,28,70.7,20,0.11,4,9.58,13,109.4,4,99.8,41,7.64,24,2,2008,13.3,2.8,16.1,1766.51082
14,Marquette,BE,25-10,22.16,115.3,20,93.1,21,66.6,118,-0.027000000000000003,240,8.62,32,107.9,41,99.3,26,-6.37,307,6,2008,8.3,5.9,14.2,1672.7637
15,Xavier,A10,30-7,22.05,117.3,8,95.2,39,63.8,225,0.054000000000000006,49,6.94,53,108.1,34,101.2,80,3.5,69,3,2008,7.9,6.4,14.3,1712.3111199999996
16,Clemson,ACC,24-10,22.03,114.0,35,91.9,15,68.0,78,-0.044000000000000004,280,9.53,15,109.3,5,99.8,42,0.31,137,5,2008,10.2,4.5,14.7,1656.611712
17,Drake,MVC,28-5,21.46,120.0,4,98.5,76,62.9,262,0.011000000000000001,145,4.89,88,105.5,101,100.6,65,0.11,142,5,2008,5.4,4.9,10.3,1720.561497
18,West Virginia,BE,26-11,21.29,114.6,27,93.3,23,63.8,228,-0.019,217,9.0,28,108.5,24,99.5,31,-1.98,210,7,2008,8.9,7.7,16.6,1648.029995
19,Michigan St.,B10,27-9,21.15,115.8,17,94.7,33,63.3,253,0.032,94,8.71,31,108.2,32,99.5,32,0.59,128,5,2008,5.8,7.8,13.6,1698.4550370000004
20,Butler,Horz,30-4,19.97,116.2,14,96.2,47,59.5,328,0.002,161,2.79,110,104.3,133,101.5,90,5.43,40,7,2008,3.3,9.2,12.5,1724.854727
21,Texas A&M,B12,25-11,19.93,112.3,46,92.3,17,61.8,295,0.004,159,8.28,37,107.4,51,99.1,20,-5.13,291,9,2008,4.1,8.2,12.3,1667.1857220000004
22,Pittsburgh,BE,27-10,19.91,116.5,10,96.6,54,63.9,221,0.027000000000000003,104,9.52,16,107.8,44,98.3,5,-1.69,197,4,2008,7.2,6.0,13.3,1669.678367
23,Arizona,P10,19-15,19.14,116.4,12,97.3,63,63.5,239,-0.079,326,12.72,1,110.3,1,97.6,1,8.75,12,10,2008,6.6,4.1,10.7,1597.163292
24,Notre Dame,BE,25-8,19.07,114.6,26,95.6,43,69.5,35,0.042,72,6.88,54,107.5,48,100.6,66,-7.02,314,5,2008,10.6,1.6,12.2,1656.9221619999996
25,Gonzaga,WCC,25-8,19.05,114.5,30,95.5,41,65.9,140,-0.028999999999999998,245,2.57,112,104.0,147,101.5,89,7.71,22,7,2008,8.1,2.9,11.0,1672.41826
26,Kansas St.,B12,21-12,18.9,114.2,34,95.3,40,69.7,33,-0.049,290,9.09,27,108.0,38,98.9,14,-2.73,237,11,2008,8.6,1.1,9.6,1616.504765
27,Connecticut,BE,24-9,18.9,115.2,22,96.3,49,67.1,101,-0.001,170,7.67,45,107.7,45,100.0,49,-1.27,179,4,2008,8.5,3.8,12.3,1659.985675
28,USC,P10,21-12,18.67,110.5,59,91.9,13,65.2,166,-0.005,184,11.18,3,109.7,2,98.5,8,0.4,134,6,2008,4.9,7.1,12.0,1603.041875
29,Indiana,B10,25-8,18.43,114.6,29,96.1,44,66.2,134,0.037000000000000005,85,6.28,64,106.6,75,100.3,59,-2.3,219,8,2008,8.5,4.1,12.6,1696.0488719999996
30,Purdue,B10,25-9,18.3,110.5,60,92.2,16,66.9,107,-0.025,234,6.41,62,106.2,86,99.7,36,-3.61,265,6,2008,3.9,6.0,9.9,1639.665609
31,Ohio St.,B10,24-13,17.79,110.2,65,92.4,18,64.0,217,-0.027000000000000003,241,8.35,36,108.6,18,100.3,57,4.38,50,1,2008,3.6,8.2,11.8,1621.205157
32,New Mexico,MWC,24-9,17.08,111.1,54,94.0,30,64.4,196,-0.046,285,1.13,138,104.0,148,102.9,143,-3.87,269,5,2008,5.2,4.1,9.3,1645.135461
33,Mississippi St.,SEC,23-11,16.77,108.2,92,91.5,11,66.6,117,-0.043,278,6.22,66,108.1,35,101.8,98,-1.48,187,8,2008,5.5,5.5,11.0,1597.6465050000004
34,Virginia Tech,ACC,21-14,16.29,107.1,119,90.8,8,65.8,146,-0.048,288,7.41,48,107.9,40,100.5,61,-0.09,150,1,2008,2.4,7.4,9.8,1564.957369
35,BYU,MWC,27-8,15.76,107.4,112,91.7,12,67.8,83,0.027000000000000003,106,1.47,129,104.2,139,102.7,139,-4.23,276,8,2008,4.6,3.6,8.2,1674.003208
36,Oregon,P10,18-14,15.66,118.8,5,103.1,160,65.8,144,-0.035,259,10.56,5,108.9,14,98.4,6,0.11,143,9,2008,11.0,-1.1,9.9,1578.428394
37,Miami FL,ACC,23-11,15.38,112.5,44,97.1,61,65.8,145,-0.003,176,7.78,44,106.7,70,98.9,16,-5.55,296,7,2008,8.1,2.2,10.4,1659.012484
38,Florida,SEC,24-12,15.37,115.9,16,100.5,104,65.0,176,-0.042,273,3.13,107,105.1,108,102.0,103,-9.31,330,2,2008,8.1,2.5,10.6,1634.095191
39,Nebraska,B12,20-13,15.31,108.0,101,92.7,19,61.6,297,-0.042,272,6.19,69,106.4,81,100.2,54,-12.71,340,3,2008,-0.5,8.0,7.5,1579.7370970000004
40,Arkansas,SEC,23-12,15.19,111.4,53,96.2,48,66.5,119,0.008,153,7.19,52,108.4,25,101.2,82,-0.61,164,9,2008,5.5,4.1,9.7,1631.563166
41,Baylor,B12,21-11,14.82,115.7,19,100.9,113,70.1,24,-0.027999999999999997,242,7.58,46,106.9,64,99.3,25,-4.83,286,11,2008,12.6,-4.8,7.8,1650.003263
42,Saint Mary's,WCC,25-7,14.66,109.2,76,94.6,32,66.4,124,0.03,96,0.11,151,103.4,174,103.3,153,2.34,88,10,2008,5.1,3.9,9.0,1697.672001
43,Western Kentucky,SB,29-7,14.6,111.9,48,97.3,62,68.2,69,-0.021,219,-0.85,172,103.3,176,104.2,174,1.69,100,12,2008,7.5,0.6,8.2,1673.203507
